,experiment,id_code,plate,sirna,well,well_type
0,HEPG2-02,HEPG2-02_1_B03,1,986,B03,
1,HEPG2-02,HEPG2-02_1_B04,1,552,B04,
2,HEPG2-02,HEPG2-02_1_B05,1,340,B05,
3,HEPG2-02,HEPG2-02_1_B06,1,345,B06,
4,HEPG2-02,HEPG2-02_1_B07,1,692,B07,
5,HEPG2-02,HEPG2-02_1_B08,1,606,B08,
6,HEPG2-02,HEPG2-02_1_B09,1,598,B09,
7,HEPG2-02,HEPG2-02_1_B10,1,1067,B10,
8,HEPG2-02,HEPG2-02_1_B11,1,708,B11,
9,HEPG2-02,HEPG2-02_1_B12,1,59,B12,
10,HEPG2-02,HEPG2-02_1_B13,1,565,B13,
11,HEPG2-02,HEPG2-02_1_B14,1,158,B14,
12,HEPG2-02,HEPG2-02_1_B15,1,109,B15,
13,HEPG2-02,HEPG2-02_1_B16,1,172,B16,
14,HEPG2-02,HEPG2-02_1_B17,1,622,B17,
15,HEPG2-02,HEPG2-02_1_B18,1,884,B18,
16,HEPG2-02,HEPG2-02_1_B19,1,91,B19,
17,HEPG2-02,HEPG2-02_1_B20,1,1101,B20,
18,HEPG2-02,HEPG2-02_1_B21,1,40,B21,
19,HEPG2-02,HEPG2-02_1_B22,1,523,B22,
20,HEPG2-02,HEPG2-02_1_B23,1,1066,B23,
21,HEPG2-02,HEPG2-02_1_C02,1,1096,C02,
22,HEPG2-02,HEPG2-02_1_C04,1,346,C04,
23,HEPG2-02,HEPG2-02_1_C05,1,1102,C05,
24,HEPG2-02,HEPG2-02_1_C06,1,1060,C06,
25,HEPG2-02,HEPG2-02_1_C08,1,1106,C08,
26,HEPG2-02,HEPG2-02_1_C09,1,293,C09,
27,HEPG2-02,HEPG2-02_1_C10,1,10,C10,
28,HEPG2-02,HEPG2-02_1_C12,1,695,C12,
29,HEPG2-02,HEPG2-02_1_C13,1,500,C13,
30,HEPG2-02,HEPG2-02_1_C14,1,373,C14,
31,HEPG2-02,HEPG2-02_1_C16,1,302,C16,
32,HEPG2-02,HEPG2-02_1_C17,1,89,C17,
33,HEPG2-02,HEPG2-02_1_C18,1,897,C18,
34,HEPG2-02,HEPG2-02_1_C20,1,272,C20,
35,HEPG2-02,HEPG2-02_1_C21,1,657,C21,
36,HEPG2-02,HEPG2-02_1_C23,1,907,C23,
37,HEPG2-02,HEPG2-02_1_D02,1,371,D02,
38,HEPG2-02,HEPG2-02_1_D03,1,55,D03,
39,HEPG2-02,HEPG2-02_1_D04,1,1027,D04,
40,HEPG2-02,HEPG2-02_1_D05,1,900,D05,
41,HEPG2-02,HEPG2-02_1_D06,1,514,D06,
42,HEPG2-02,HEPG2-02_1_D07,1,549,D07,
43,HEPG2-02,HEPG2-02_1_D08,1,486,D08,
44,HEPG2-02,HEPG2-02_1_D09,1,181,D09,
45,HEPG2-02,HEPG2-02_1_D10,1,775,D10,
46,HEPG2-02,HEPG2-02_1_D11,1,436,D11,
47,HEPG2-02,HEPG2-02_1_D12,1,211,D12,
48,HEPG2-02,HEPG2-02_1_D13,1,1006,D13,
49,HEPG2-02,HEPG2-02_1_D14,1,508,D14,
50,HEPG2-02,HEPG2-02_1_D15,1,655,D15,
51,HEPG2-02,HEPG2-02_1_D16,1,222,D16,
52,HEPG2-02,HEPG2-02_1_D17,1,282,D17,
53,HEPG2-02,HEPG2-02_1_D18,1,1041,D18,
54,HEPG2-02,HEPG2-02_1_D19,1,543,D19,
55,HEPG2-02,HEPG2-02_1_D20,1,94,D20,
56,HEPG2-02,HEPG2-02_1_D21,1,605,D21,
57,HEPG2-02,HEPG2-02_1_D22,1,287,D22,
58,HEPG2-02,HEPG2-02_1_D23,1,1056,D23,
59,HEPG2-02,HEPG2-02_1_E02,1,699,E02,
60,HEPG2-02,HEPG2-02_1_E03,1,914,E03,
61,HEPG2-02,HEPG2-02_1_E04,1,670,E04,
62,HEPG2-02,HEPG2-02_1_E05,1,875,E05,
63,HEPG2-02,HEPG2-02_1_E06,1,687,E06,
64,HEPG2-02,HEPG2-02_1_E07,1,460,E07,
65,HEPG2-02,HEPG2-02_1_E08,1,395,E08,
66,HEPG2-02,HEPG2-02_1_E09,1,313,E09,
67,HEPG2-02,HEPG2-02_1_E10,1,48,E10,
68,HEPG2-02,HEPG2-02_1_E11,1,1020,E11,
69,HEPG2-02,HEPG2-02_1_E12,1,1031,E12,
70,HEPG2-02,HEPG2-02_1_E13,1,439,E13,
71,HEPG2-02,HEPG2-02_1_E14,1,431,E14,
72,HEPG2-02,HEPG2-02_1_E15,1,797,E15,
73,HEPG2-02,HEPG2-02_1_E16,1,256,E16,
74,HEPG2-02,HEPG2-02_1_E17,1,80,E17,
75,HEPG2-02,HEPG2-02_1_E18,1,960,E18,
76,HEPG2-02,HEPG2-02_1_E19,1,308,E19,
77,HEPG2-02,HEPG2-02_1_E20,1,588,E20,
78,HEPG2-02,HEPG2-02_1_E21,1,46,E21,
79,HEPG2-02,HEPG2-02_1_E22,1,126,E22,
80,HEPG2-02,HEPG2-02_1_E23,1,765,E23,
81,HEPG2-02,HEPG2-02_1_F02,1,385,F02,
82,HEPG2-02,HEPG2-02_1_F04,1,413,F04,
83,HEPG2-02,HEPG2-02_1_F05,1,481,F05,
84,HEPG2-02,HEPG2-02_1_F06,1,744,F06,
85,HEPG2-02,HEPG2-02_1_F08,1,361,F08,
86,HEPG2-02,HEPG2-02_1_F09,1,950,F09,
87,HEPG2-02,HEPG2-02_1_F10,1,489,F10,
88,HEPG2-02,HEPG2-02_1_F12,1,352,F12,
89,HEPG2-02,HEPG2-02_1_F13,1,144,F13,
