,experiment,id_code,plate,sirna,well,well_type
0,HEPG2-01,HEPG2-01_1_B03,1,513,B03,
1,HEPG2-01,HEPG2-01_1_B04,1,840,B04,
2,HEPG2-01,HEPG2-01_1_B05,1,1020,B05,
3,HEPG2-01,HEPG2-01_1_B06,1,254,B06,
4,HEPG2-01,HEPG2-01_1_B07,1,144,B07,
5,HEPG2-01,HEPG2-01_1_B08,1,503,B08,
6,HEPG2-01,HEPG2-01_1_B09,1,188,B09,
7,HEPG2-01,HEPG2-01_1_B10,1,700,B10,
8,HEPG2-01,HEPG2-01_1_B11,1,1100,B11,
9,HEPG2-01,HEPG2-01_1_B12,1,611,B12,
10,HEPG2-01,HEPG2-01_1_B13,1,276,B13,
11,HEPG2-01,HEPG2-01_1_B14,1,397,B14,
12,HEPG2-01,HEPG2-01_1_B15,1,757,B15,
13,HEPG2-01,HEPG2-01_1_B16,1,828,B16,
14,HEPG2-01,HEPG2-01_1_B17,1,91,B17,
15,HEPG2-01,HEPG2-01_1_B18,1,567,B18,
16,HEPG2-01,HEPG2-01_1_B19,1,6,B19,
17,HEPG2-01,HEPG2-01_1_B20,1,460,B20,
18,HEPG2-01,HEPG2-01_1_B21,1,413,B21,
19,HEPG2-01,HEPG2-01_1_B22,1,555,B22,
20,HEPG2-01,HEPG2-01_1_B23,1,74,B23,
21,HEPG2-01,HEPG2-01_1_C02,1,950,C02,
22,HEPG2-01,HEPG2-01_1_C04,1,253,C04,
23,HEPG2-01,HEPG2-01_1_C05,1,272,C05,
24,HEPG2-01,HEPG2-01_1_C06,1,162,C06,
25,HEPG2-01,HEPG2-01_1_C08,1,177,C08,
26,HEPG2-01,HEPG2-01_1_C09,1,1023,C09,
27,HEPG2-01,HEPG2-01_1_C10,1,282,C10,
28,HEPG2-01,HEPG2-01_1_C12,1,762,C12,
29,HEPG2-01,HEPG2-01_1_C13,1,547,C13,
30,HEPG2-01,HEPG2-01_1_C14,1,750,C14,
31,HEPG2-01,HEPG2-01_1_C16,1,10,C16,
32,HEPG2-01,HEPG2-01_1_C17,1,212,C17,
33,HEPG2-01,HEPG2-01_1_C18,1,960,C18,
34,HEPG2-01,HEPG2-01_1_C20,1,870,C20,
35,HEPG2-01,HEPG2-01_1_C21,1,549,C21,
36,HEPG2-01,HEPG2-01_1_C23,1,655,C23,
37,HEPG2-01,HEPG2-01_1_D02,1,70,D02,
38,HEPG2-01,HEPG2-01_1_D03,1,350,D03,
39,HEPG2-01,HEPG2-01_1_D04,1,745,D04,
40,HEPG2-01,HEPG2-01_1_D05,1,1042,D05,
41,HEPG2-01,HEPG2-01_1_D06,1,436,D06,
42,HEPG2-01,HEPG2-01_1_D07,1,537,D07,
